id,name,category,subcategory,price,originalPrice,description,image,thumbnail,colors,sizes,material,isNew,isFeatured,rating,reviews,inStock,tags
HLX-FOOTWEAR-001,Premium Black Leather Oxford,Footwear,Men's Footwear,125000,145000,Step into luxury with our HLX Premium Black Leather Oxford shoes. Handcrafted from 100% genuine Italian leather with traditional lace-up design. Features genuine leather sole reinforced toe cap and refined hand-stitching throughout. Perfect for formal occasions business meetings and special events.,https://images.unsplash.com/photo-1544441893-6173dba999ef?w=800&q=80,https://images.unsplash.com/photo-1544441893-6173dba999ef?w=500&q=80,Black,"40,41,42,43,44,45,46",100% Genuine Italian Leather,TRUE,TRUE,4.8,24,TRUE,"formal,men,footwear,leather,oxford,business"
HLX-FOOTWEAR-002,Women's Brown Leather Heels,Footwear,Women's Footwear,95000,120000,Elevate your wardrobe with our exquisite Women's Brown Leather Heels. Hand-stitched from the finest premium leather with a sleek pointed toe. Features 3-inch genuine leather heel cushioned insole for comfort and elegant ankle support. Ideal for evening events parties and professional settings.,https://images.unsplash.com/photo-1543163521-1bf539c55dd2?w=800&q=80,https://images.unsplash.com/photo-1543163521-1bf539c55dd2?w=500&q=80,"Brown,Tan","36,37,38,39,40,41",100% Genuine Leather,TRUE,TRUE,4.9,18,TRUE,"women,heels,formal,footwear,leather,elegant"
HLX-FOOTWEAR-003,Men's Tan Leather Loafers,Footwear,Men's Footwear,110000,130000,Discover timeless comfort with our Men's Tan Leather Loafers. Crafted from premium cognac-colored leather with hand-stitched details. Features flexible genuine leather sole reinforced toe box and breathable lining. Perfect for casual outings weekend trips and relaxed professional environments.,https://images.unsplash.com/photo-1594938298603-c8148c4dae35?w=800&q=80,https://images.unsplash.com/photo-1594938298603-c8148c4dae35?w=500&q=80,"Tan,Brown","40,41,42,43,44,45,46",100% Genuine Leather,FALSE,TRUE,4.7,31,TRUE,"men,loafers,casual,footwear,leather,comfort"
HLX-FOOTWEAR-004,Women's Black Leather Boots,Footwear,Women's Footwear,135000,160000,Make a statement with our Women's Black Leather Boots. Constructed from premium genuine leather with a sophisticated knee-high design. Features adjustable leather straps cushioned leather insole and durable genuine leather sole. Perfect for autumn and winter seasons enhancing any outfit from casual to formal.,https://images.unsplash.com/photo-1548021682-1720a92c4a0d?w=800&q=80,https://images.unsplash.com/photo-1548021682-1720a92c4a0d?w=500&q=80,Black,"36,37,38,39,40,41",100% Genuine Leather,TRUE,FALSE,4.8,22,TRUE,"women,boots,leather,footwear,winter,elegant"
HLX-APPAREL-001,Premium Black Leather Jacket,Apparel & Outerwear,Jackets,250000,320000,Elevate your style with our iconic Premium Black Leather Jacket. Meticulously crafted from 100% genuine leather with a modern fit. Features genuine leather lining reinforced seams multiple pockets and durable brass zippers. A timeless piece that combines sophistication with edge.,https://images.unsplash.com/photo-1551028719-00167b16ebc5?w=800&q=80,https://images.unsplash.com/photo-1551028719-00167b16ebc5?w=500&q=80,"Black,Cognac","XS,S,M,L,XL,XXL",100% Genuine Leather,TRUE,TRUE,4.9,45,TRUE,"apparel,jacket,leather,men,women,outerwear"
HLX-APPAREL-002,Cognac Leather Blazer,Apparel & Outerwear,Blazers,180000,220000,Experience sophisticated elegance with our Cognac Leather Blazer. Tailored from premium leather with a classic cut and modern finish. Features button closure structured shoulders and refined hand-stitching. Perfect for business meetings formal events and professional settings.,https://images.unsplash.com/photo-1594938298603-c8148c4dae35?w=800&q=80,https://images.unsplash.com/photo-1594938298603-c8148c4dae35?w=500&q=80,"Cognac,Brown","XS,S,M,L,XL",100% Genuine Leather,FALSE,TRUE,4.8,29,TRUE,"apparel,blazer,leather,formal,business,outerwear"
HLX-BAGS-001,Premium Brown Leather Messenger Bag,Bags & Travel,Messenger Bags,145000,185000,Carry luxury with our Premium Brown Leather Messenger Bag. Handcrafted from genuine leather with a spacious main compartment and multiple organizational pockets. Features adjustable leather shoulder strap genuine leather accents and durable brass hardware. Perfect for work travel and everyday use.,https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=800&q=80,https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=500&q=80,"Brown,Tan,Black",One Size,100% Genuine Leather,TRUE,TRUE,4.9,56,TRUE,"bags,messenger,leather,travel,work,business"
HLX-BAGS-002,Black Leather Tote Bag,Bags & Travel,Tote Bags,120000,150000,Discover versatile elegance with our Black Leather Tote Bag. Constructed from premium genuine leather with a spacious compartment. Features dual leather handles interior card slots and genuine leather lining. Ideal for professional work shopping and travel.,https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=800&q=80,https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=500&q=80,"Black,Brown",One Size,100% Genuine Leather,FALSE,TRUE,4.8,38,TRUE,"bags,tote,leather,women,professional,travel"
HLX-BAGS-003,Tan Leather Travel Backpack,Bags & Travel,Backpacks,165000,210000,Go further with our Tan Leather Travel Backpack. Crafted from genuine hide with multiple compartments for organization. Features comfortable padded leather straps USB charging port holder and water-resistant lining. Perfect for travel hiking and adventure.,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=800&q=80,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=500&q=80,"Tan,Brown,Black",One Size,100% Genuine Leather,TRUE,FALSE,4.7,41,TRUE,"bags,backpack,travel,leather,adventure,hiking"
HLX-ACCESSORIES-001,Premium Brown Leather Belt,Accessories,Belts,35000,45000,Elevate your style with our Premium Brown Leather Belt. Hand-crafted from genuine leather with precision stitching. Features adjustable sizing genuine brass buckle and refined detailing. A versatile accessory perfect for any occasion.,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=800&q=80,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=500&q=80,"Brown,Black,Tan",One Size - Adjustable,100% Genuine Leather,FALSE,TRUE,4.8,72,TRUE,"accessories,belt,leather,men,formal,casual"
HLX-ACCESSORIES-002,Black Leather Gloves,Accessories,Gloves,28000,35000,Stay warm in style with our Black Leather Gloves. Crafted from soft genuine leather with fleece lining for comfort. Features touchscreen-compatible fingertips and adjustable wrist strap. Perfect for winter and formal occasions.,https://images.unsplash.com/photo-1603561591411-07134e71a2a9?w=800&q=80,https://images.unsplash.com/photo-1603561591411-07134e71a2a9?w=500&q=80,"Black,Brown","S,M,L,XL",100% Genuine Leather with Fleece Lining,TRUE,FALSE,4.9,34,TRUE,"accessories,gloves,leather,winter,warm,formal"
HLX-ACCESSORIES-003,Cognac Leather Wallet,Accessories,Wallets,22000,28000,Protect your essentials with our Cognac Leather Wallet. Hand-stitched from premium leather with multiple card slots and cash compartment. Features RFID protection and genuine leather lining. A sophisticated accessory for the modern gentleman.,https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=800&q=80,https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=500&q=80,"Cognac,Brown,Black",One Size,100% Genuine Leather,FALSE,TRUE,4.7,89,TRUE,"accessories,wallet,leather,men,rfid,elegant"
HLX-FURNITURE-001,Premium Brown Leather Sofa,Leather Interiors,Seating,850000,1100000,Transform your living space with our Premium Brown Leather Sofa. Handcrafted from genuine leather with a spacious seating area and elegant wooden frame. Features genuine leather cushions hand-stitched details and durable construction. Perfect for creating a luxurious and comfortable home.,https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=800&q=80,https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=500&q=80,"Brown,Black,Cognac","3-Seater,2-Seater",100% Genuine Leather with Wooden Frame,TRUE,TRUE,4.9,28,TRUE,"furniture,sofa,leather,home,interior,seating"
HLX-FURNITURE-002,Black Leather Armchair,Leather Interiors,Chairs,280000,350000,Add sophistication to any room with our Black Leather Armchair. Crafted from premium genuine leather with a comfortable cushioned seat. Features wooden armrests leather-stitched details and elegant design. Perfect for home offices living rooms or reading spaces.,https://images.unsplash.com/photo-1592078615290-033ee584e267?w=800&q=80,https://images.unsplash.com/photo-1592078615290-033ee584e267?w=500&q=80,"Black,Brown",One Size,100% Genuine Leather with Wooden Frame,FALSE,TRUE,4.8,19,TRUE,"furniture,chair,leather,home,interior,seating"
HLX-AUTOMOTIVE-001,Premium Black Leather Car Seat Covers,Automotive,Seat Covers,95000,125000,Experience luxury and comfort while driving with our Premium Black Leather Car Seat Covers. Crafted from genuine leather with precision stitching. Features air ventilation easy installation and protection for your original seats. Perfect for enhancing your vehicle's interior.,https://images.unsplash.com/photo-1552820728-8ac41f1ce891?w=800&q=80,https://images.unsplash.com/photo-1552820728-8ac41f1ce891?w=500&q=80,"Black,Cognac,Gray",Universal,100% Genuine Leather,TRUE,TRUE,4.8,42,TRUE,"automotive,seat-covers,leather,car,interior,luxury"
HLX-AUTOMOTIVE-002,Cognac Leather Steering Wheel Cover,Automotive,Steering Wheel,18000,22000,Drive with elegance using our Cognac Leather Steering Wheel Cover. Handcrafted from genuine leather with breathable design. Features comfortable grip durable stitching and easy installation. Perfect for adding luxury feel to your vehicle.,https://images.unsplash.com/photo-1493238792935-586cb221aae7?w=800&q=80,https://images.unsplash.com/photo-1493238792935-586cb221aae7?w=500&q=80,"Cognac,Black,Brown",Standard (37-39cm),100% Genuine Leather,FALSE,TRUE,4.9,67,TRUE,"automotive,steering-wheel,leather,car,interior,comfort"
HLX-AUTOMOTIVE-003,Premium Leather Car Floor Mats,Automotive,Floor Mats,55000,75000,Protect your vehicle's interior while adding luxury with our Premium Leather Car Floor Mats. Crafted from genuine leather with non-slip backing. Features custom fit design water resistance and easy maintenance. Perfect for keeping your car pristine.,https://images.unsplash.com/photo-1552820728-8ac41f1ce891?w=800&q=80,https://images.unsplash.com/photo-1552820728-8ac41f1ce891?w=500&q=80,"Black,Cognac,Brown",Universal,100% Genuine Leather,TRUE,FALSE,4.7,31,TRUE,"automotive,floor-mats,leather,car,interior,protection"
